driver_id,first_name,last_name,email,birthdate,phone_number,address,licence_number
1,Michel,Crannage,mcrannage0@1und1.de,1950-02-18,399-867-2022,Apt 385,358491853-7
2,Mel,Saw,msaw1@cnet.com,2005-10-09,615-311-6626,Room 1742,753052872-6
3,Guthry,Seller,gseller2@dot.gov,2005-10-26,717-575-9858,Room 1747,455112858-9
4,Glynn,Dubois,gdubois3@nifty.com,1954-03-31,572-286-0120,Room 71,471795625-7
5,Zacharie,Tappor,ztappor4@wikia.com,1963-01-26,842-341-3400,Suite 48,996539701-5
6,Marlena,McKue,mmckue5@cdbaby.com,1951-10-11,266-975-5759,Room 462,863296711-8
7,Hunt,Rizon,hrizon6@phpbb.com,1951-07-23,555-668-6735,Apt 1264,045598540-5
8,Elias,Ibanez,eibanez7@about.me,1959-02-25,285-984-7301,Suite 94,840484236-1
9,Bernie,Nickoll,bnickoll8@meetup.com,1977-08-22,250-277-3957,Room 327,079474856-2
10,Midge,Gorst,mgorst9@amazon.com,1974-03-21,232-461-3511,3rd Floor,391891744-4
11,Ninette,Brient,nbrienta@meetup.com,2000-05-09,463-872-5744,17th Floor,329905016-8
12,Marja,Pabelik,mpabelikb@com.com,1974-11-14,309-328-9173,Apt 553,449542434-3
13,Tracey,Tomley,ttomleyc@canalblog.com,1979-04-19,198-850-9866,Suite 95,974838776-3
14,Allyn,Elizabeth,aelizabethd@wordpress.org,1952-09-25,917-293-6348,17th Floor,764623988-7
15,Locke,Managh,lmanaghe@google.ca,1974-07-19,287-857-4359,PO Box 16589,322553673-3
16,Pete,Angrave,pangravef@dailymotion.com,1994-06-28,881-533-0513,Room 1608,885024312-X
17,Carolynn,Mosten,cmosteng@biglobe.ne.jp,1956-04-23,783-279-7611,Suite 78,516492993-7
18,Marja,Reide,mreideh@nsw.gov.au,1978-04-26,376-168-3849,12th Floor,829771125-0
19,Pam,Hinder,phinderi@vimeo.com,1990-04-15,996-526-0043,Apt 1411,871342340-1
